UID0,UID1,UID2,UID3,Label,Ttype,Mtype,L1,L2
136,4,87,200,A,2,1,0.0,0.0
136,4,72,200,B,2,1,0.0,0.0
136,4,232,199,C,2,1,0.0,0.0
136,4,237,199,D,2,1,0.0,0.0
136,4,21,199,E,2,1,0.0,0.0
136,4,53,200,F,2,1,0.0,0.0
136,4,1,199,G,2,1,0.0,0.0
136,4,58,200,H,2,1,0.0,0.0
136,4,52,200,I,2,1,0.0,0.0
136,4,68,200,J,2,1,0.0,0.0
136,4,16,199,K,2,1,0.0,0.0
136,4,47,200,L,2,1,0.0,0.0
136,4,222,199,M,2,1,0.0,0.0
136,4,242,199,N,2,1,0.0,0.0
136,4,63,200,O,2,1,0.0,0.0
136,4,252,199,P,2,1,0.0,0.0
136,4,77,200,Q,2,1,0.0,0.0
136,4,227,199,R,2,1,0.0,0.0
136,4,92,200,S,2,1,0.0,0.0
136,4,48,200,T,2,1,0.0,0.0
136,4,247,199,U,2,1,0.0,0.0
136,4,27,200,V,2,1,0.0,0.0
136,4,82,200,W,2,1,0.0,0.0
136,4,31,199,X,2,1,0.0,0.0
136,4,37,200,Y,2,1,0.0,0.0
136,4,26,199,Z,2,1,0.0,0.0
136,4,129,200,0,2,1,0.0,0.0
136,4,32,200,1,2,1,0.0,0.0
136,4,126,199,2,2,1,0.0,0.0
136,4,111,199,3,2,1,0.0,0.0
136,4,121,199,4,2,1,0.0,0.0
136,4,116,199,5,2,1,0.0,0.0
136,4,101,199,6,2,1,0.0,0.0
136,4,91,199,7,2,1,0.0,0.0
136,4,96,199,8,2,1,0.0,0.0
136,4,106,199,9,2,1,0.0,0.0
136,4,107,200,Apple,2,1,0.0,0.0
136,4,112,200,2,2,1,0.0,0.0
136,4,117,200,Carrot,2,1,0.0,0.0
136,4,22,200,1,2,1,0.0,0.0
136,4,36,199,3,2,1,0.0,0.0
136,4,102,200,Banana,2,1,0.0,0.0
136,4,121,150,power2,2,1,0.0,0.0
136,4,130,150,power3,2,1,0.0,0.0
136,4,129,150,for,2,1,0.0,0.0
136,4,146,150,while,2,1,0.0,0.0